Image_file,set,treatment,plant,rep,leaf,petioleLength,bladeLength,bladeWidth,bladeArea,bladePerimeter,bladeCircularity,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,4,7,11.138,21.403,10.476,176.096,76.877,0.374,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,4,8,8.984,23.04,10.245,185.387,80.941,0.356,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,4,9,7.117,21.438,9.899,166.674,77.047,0.353,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,4,10,4.92,21.403,7.863,132.175,68.411,0.355,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,4,11,3.793,18.886,7.661,113.641,60.283,0.393,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,5,2,4.989,7.734,7.049,42.817,32.343,0.514,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,5,3,7.192,11.328,8.293,73.779,41.825,0.53,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,5,4,7.597,14.035,9.827,108.321,51.647,0.51,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,5,5,9.88,17.201,10.791,145.776,63.415,0.456,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,5,6,10.026,17.184,10.214,137.844,60.621,0.471,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,5,7,8.688,19.446,10.257,156.656,68.919,0.414,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,5,8,8.594,19.012,8.654,129.222,63.077,0.408,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,5,9,2.423,16.241,6.98,89.036,55.88,0.358,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,5,10,3.27,18.477,7.935,115.15,60.706,0.393,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,6,1,4.177,7.255,5.626,32.061,30.988,0.42,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,6,2,5.894,6.956,6.451,35.242,28.194,0.557,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,6,3,7.973,12.589,10.004,98.908,50.969,0.478,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,6,4,8.159,13.96,10.505,115.174,55.711,0.466,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,6,5,11.342,18.341,11.666,168.053,66.717,0.474,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,6,6,9.883,21.32,10.939,183.17,74.422,0.416,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,6,7,9.87,22.025,10.889,188.358,75.523,0.415,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,6,8,8.98,22.063,9.755,169.032,74.676,0.381,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,6,9,7.503,21.541,10.128,171.353,73.914,0.394,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,6,10,4.117,19.316,8.428,127.856,67.987,0.348,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,6,11,1.365,17.258,7.345,99.557,61.214,0.334,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,7,1,4.246,7.242,5.895,33.532,28.617,0.515,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,7,2,4.165,6.621,5.57,28.962,26.247,0.528,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,7,3,6.358,9.159,7.401,53.238,42.079,0.378,,
